Fiscal Year,Requirement Title,Requirement Description,Office Symbol,New Requirement,Incumbent Contractor,Past Competition,Length of Performance,Target Award Fiscal Year Quarter,Estimated Value,Place of Performance,Point of Contact Name,Facility Security Clearance,NAICS Code,Estimated Value Lower,Estimated Value Upper
FY19,,SAN JOSÉ DEL GUAVIARE BRIGADA ESPECIAL CONTRA EL NARCOTRÁFICO (BRCNA) BASE - (PHASE 2),INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$250K and <$500K,COLOMBIA,Amy Kara,,236210 - Industrial Building Construction,250000.0,500000.0
FY19,,"DEEP WELLS FOR TUMACO, CAUCASIA & ANIMAS BRIGADA ESPECIAL CONTRA EL NARCOTRÁFICO (BRCNA) BASES",INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$150K and <$500K,COLOMBIA,Andrew Lloyd,,236210 - Industrial Building Construction,150000.0,500000.0
FY19,,CAUCASIA BRIGADA ESPECIAL CONTRA EL NARCOTRÁFICO (BRCNA) BASE - (PHASE 2) ,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 4 (Jul-Sep),>$1M and <$5M,COLOMBIA,Anthony Pierce,,236210 - Industrial Building Construction,1000000.0,5000000.0
FY19,,COMMUNICATIONS PROGRAM - DIGITAL HANDHELD RADIOS TO SUPPORT COMMUNICATION,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 4 (Jul-Sep),>$250K and <$500K,BELIZE,Anthony Pierce,,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,250000.0,500000.0
FY19,,LAS ANIMAS BRIGADA ESPECIAL CONTRA EL NARCOTRÁFICO (BRCNA) BASE - (PHASE 2) ,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$1M and <$5M,COLOMBIA,Amy Kara,,236210 - Industrial Building Construction,1000000.0,5000000.0
FY19,,COMMUNICATIONS PROGRAM - DIGITAL BASE STATION TO SUPPORT COMMUNICATION,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$150K and <$500K,BELIZE,Amy Kara,,334111 - Electronic Computer Manufacturing,150000.0,500000.0
FY19,,COMMUNICATIONS PROGRAM - DIGITAL MOBILE RADIOS TO SUPPORT COMMUNICATION PROGRAM,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$150K and <$500K,BELIZE,Andrew Lloyd,,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,150000.0,500000.0
FY19,,COMMUNICATIONS PROGRAM - REPEATER,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 4 (Jul-Sep),>$150K and <$500K,BELIZE,Anthony Pierce,,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,150000.0,500000.0
FY19,,PROFESSIONALIZATION OF VETTED UNITS - ADVISOR EQUIPMENT,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$150K and <$500K,BELIZE,Amy Kara,,337127 - Institutional Furniture Manufacturing,150000.0,500000.0
FY19,,PROFESSIONALIZATION OF VETTED UNITS - EQUIPMENT FOR VETTED UNITS,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$150K and <$500K,BELIZE,Andrew Lloyd,,315990 - Apparel Accessories and Other Apparel Manufacturing,150000.0,500000.0
FY19,,PROFESSIONALIZATION OF VETTED UNITS - BOAT SPARES ,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 4 (Jul-Sep),>$150K and <$500K,BELIZE,Anthony Pierce,,336612 - Boat Building,150000.0,500000.0
FY19,,COURTROOM EQUIPMENT,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$250K and <$500K,PANAMA,Andrew Lloyd,,334111 - Electronic Computer Manufacturing,250000.0,500000.0
FY19,,POLICE ADVISOR,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$150K and <$500K,BELIZE,Amy Kara,,"541990 - All Other Professional, Scientific, and Technical Services",150000.0,500000.0
FY19,,ADVANCE TACTICAL TRAINING,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$150K and <$500K,BELIZE,Andrew Lloyd,,611519 - Other Technical and Trade Schools,150000.0,500000.0
FY19,,TARGETING AND ANALYSIS TRAINING,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$150K and <$500K,BELIZE,Anthony Pierce,,611519 - Other Technical and Trade Schools,150000.0,500000.0
FY19,,BIOMETRICS CAPABILITY TRAINING,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$150K and <$500K,BELIZE,Amy Kara,,611519 - Other Technical and Trade Schools,150000.0,500000.0
FY19,,BORDER INTERDICTION TRAINING -  MIT,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$150K and <$500K,BELIZE,Andrew Lloyd,,611519 - Other Technical and Trade Schools,150000.0,500000.0
FY19,,PROFESSIONALIZATION OF POLICE PROSECUTION - TRAINING INTERNATIONAL,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$250K and <$500K,BELIZE,Anthony Pierce,,611519 - Other Technical and Trade Schools,250000.0,500000.0
FY19,,PROFESSIONALIZATION OF POLICE PROSECUTION - POLYGRAPH OF POLICE PROSECUTORS,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$150K and <$500K,BELIZE,Amy Kara,,"541990 - All Other Professional, Scientific, and Technical Services",150000.0,500000.0
FY19,,ACCREDITATION OF FORENSIC LABORATORY - TRAINING INTERNATIONAL,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$150K and <$500K,BELIZE,Andrew Lloyd,,611519 - Other Technical and Trade Schools,150000.0,500000.0
FY19,,ACCREDITATION OF FORENSIC LABORATORY - ARCHITECTURAL DRAWINGS & CONSTRUCTION OVERSIGHT FOR NEW FORENSIC LABORATORY,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$150K and <$500K,BELIZE,Anthony Pierce,,541310 - Architectural Services,150000.0,500000.0
FY19,,GUANAJUATO SECRETARÍA DE SEGURIDAD PÚBLICA (SSP) AND SECRETARIA DE MARINA (SEMAR) - SOFTWARE,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$250K and <$500K,MEXICO,Andrew Lloyd,,541519 - Other Computer Related Services,250000.0,500000.0
FY19,,ACCREDITATION OF FORENSIC LABORATORY - LABORATORY ASSESSMENT,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$150K and <$500K,BELIZE,Amy Kara,,541380 - Testing Laboratories,150000.0,500000.0
FY19,,NADD NORTH AMERICAN DRUG DIALOG,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$150K and <$500K,MEXICO,Amy Kara,,541519 - Other Computer Related Services,150000.0,500000.0
FY19,,CASE MANAGEMENT SYSTEM - TRAINING OF JUDICIARY MAGISTRATES AND POLICE ON CRIMINAL PROCEDURE RULE,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$150K and <$500K,BELIZE,Andrew Lloyd,,611519 - Other Technical and Trade Schools,150000.0,500000.0
FY19,,SLE - ISO CERTIFICATION ,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$250K and <$500K,MEXICO,Anthony Pierce,,541519 - Other Computer Related Services,250000.0,500000.0
FY19,,TIP SHELTERS PROGRAM,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$1M and <$5M,MEXICO,Andrew Lloyd,,541519 - Other Computer Related Services,1000000.0,5000000.0
FY19,,PROFESSIONALIZATION OF CUSTOMS OFFICERS - TRAINING INTERNATIONAL,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$150K and <$500K,BELIZE,Anthony Pierce,,611519 - Other Technical and Trade Schools,150000.0,500000.0
FY19,,BASIC ANTI MONEY LAUNDERING (AML) COURSE,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$1M and <$5M,MEXICO,Andrew Lloyd,,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY19,,"PROFESSIONALIZATION OF VETTED UNITS - ESTABLISHING 3 NEW VETTED UNIT (MIT, CUSTOMS, FIU)",INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$150K and <$500K,BELIZE,Amy Kara,,611519 - Other Technical and Trade Schools,150000.0,500000.0
FY19,,RESEARCH - HEROIN,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$1M and <$5M,MEXICO,Anthony Pierce,,"541990 - All Other Professional, Scientific, and Technical Services",1000000.0,5000000.0
FY19,,PROFESSIONALIZATION OF VETTED UNITS - TRAINING INTERNATIONAL,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$150K and <$500K,BELIZE,Andrew Lloyd,,611519 - Other Technical and Trade Schools,150000.0,500000.0
FY19,,RADIOS,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$250K and <$500K,PERU,Andrew Lloyd,,334419 - Other Electronic Component Manufacturing,250000.0,500000.0
FY19,,NIGHT VISION EQUIPMENT,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$150K and <$500K,PERU,Anthony Pierce,,333314 - Optical Instrument and Lens Manufacturing,150000.0,500000.0
FY19,,SHORT RANGE DRONES,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$150K and <$500K,PERU,Amy Kara,,336411 - Aircraft Manufacturing,150000.0,500000.0
FY19,,HYDRATION PACKS,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$150K and <$500K,PERU,Andrew Lloyd,,314910 - Textile Bag and Canvas Mills,150000.0,500000.0
FY19,,SATELLITE PHONES,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$150K and <$500K,PERU,Anthony Pierce,,334210 - Telephone Apparatus Manufacturing,150000.0,500000.0
FY19,,CUCUTA BRIGADA ESPECIAL CONTRA EL NARCOTRÁFICO (BRCNA) BASE,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$500K and <$1M,COLOMBIA,Andrew Lloyd,,236210 - Industrial Building Construction,500000.0,1000000.0
FY19,,CONSTRUCTION OF RURAL POLICE STATIONS (5 TOTAL),INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 4 (Jul-Sep),>$1M and <$5M,COLOMBIA,Anthony Pierce,,236210 - Industrial Building Construction,1000000.0,5000000.0
FY19,,SIMULATION HOUSE IMPROVEMENT AND MAINTENANCE. ,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$150K and <$500K,COLOMBIA,Amy Kara,,236210 - Industrial Building Construction,150000.0,500000.0
FY19,,ROOMS FOR VIRTUAL LEARNING - INTELLIGENCE SCHOOL ,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$250K and <$500K,COLOMBIA,Amy Kara,,236210 - Industrial Building Construction,250000.0,500000.0
FY19,,CONSTRUCTION OF PIZARRO CG STATION,INL/WHP,New,,New Procurement,Base Option Period (1yr),Quarter 2 (Jan-Mar),>$1M and <$5M,COLOMBIA,Amy Kara,,236210 - Industrial Building Construction,1000000.0,5000000.0
FY19,,CONSTRUCTION OF BARRANQUILLA CG STATION,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$500K and <$1M,COLOMBIA,Andrew Lloyd,,236210 - Industrial Building Construction,500000.0,1000000.0
FY19,,​VIRTUAL VIDEO COMMUNICATION SYSTEM,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$250K and <$500K,COLOMBIA,Andrew Lloyd,,334111 - Electronic Computer Manufacturing,250000.0,500000.0
FY19,,PURCHASE OF SMALL BOAT EQUIPMENT,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$250K and <$500K,COLOMBIA,Andrew Lloyd,,336612 - Boat Building,250000.0,500000.0
FY19,,PURCHASE OF MARITIME INTERCEPTOR BOAT SUSTAINMENT SPARE PARTS,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 4 (Jul-Sep),>$1M and <$5M,COLOMBIA,Anthony Pierce,,336612 - Boat Building,1000000.0,5000000.0
FY19,,PURCHASE OF RIVERINE INTERCEPTOR BOAT SUSTAINMENT SPARE PARTS,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$1M and <$5M,COLOMBIA,Amy Kara,,336612 - Boat Building,1000000.0,5000000.0
FY19,,ENHANCEMENT OF MARITIME-RIVERINE CANINE PROGRAM,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$1M and <$5M,COLOMBIA,Andrew Lloyd,,336612 - Boat Building,1000000.0,5000000.0
FY19,,WEAPONS ID SOFTWARE,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$500K and <$1M,COLOMBIA,Andrew Lloyd,,541519 - Other Computer Related Services,500000.0,1000000.0
FY19,,DATA MINING SOFTWARE,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 4 (Jul-Sep),>$1M and <$5M,COLOMBIA,Anthony Pierce,,541519 - Other Computer Related Services,1000000.0,5000000.0
FY19,,MONITORING AND EVALUATION CONTRACT,INL/WHP,New,,New Procurement,Base + 3 Option Periods (4yrs),Quarter 3 (Apr-Jun),>$500K and <$1M,HONDURAS,Andrew Lloyd,,541611 - Administrative Management and General Management Consulting Services,500000.0,1000000.0
FY19,,DIPOL THIRD PARTY ADVISORS,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$150K and <$500K,HONDURAS,Anthony Pierce,,541611 - Administrative Management and General Management Consulting Services,150000.0,500000.0
FY19,,PRISONS EQUIPMENT FOR FEDERAL AND STATES PRISONS,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$10M and <$20M,MEXICO,Amy Kara,,922140 - Correctional Institutions,10000000.0,20000000.0
FY19,, DATA CENTER AND INTERVIEW ROOMS 1 YR FOR CISEN,INL/WHP,New,,New Procurement,Base Option Period (1yr),Quarter 3 (Apr-Jun),>$10M and <$20M,MEXICO,Amy Kara,,"518210 - Data Processing, Hosting, and Related Services",10000000.0,20000000.0
FY19,,NATIONAL BIOMETRIC PROJECT (DIGITUS) ,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$5M and <$10M,MEXICO,Amy Kara ,,561611 - Investigation Services,5000000.0,10000000.0
FY19,,JUDICIARY CASE MANAGEMENT INFORMATION SYSTEM EXPANSION,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$1M and <$5M,TRINIDAD AND TOBAGO,Anthony Pierce,,541512 - Computer Systems Design Services,1000000.0,5000000.0
FY19,,MINIBUS,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$250K and <$500K,PERU,Andrew Lloyd,,336112 - Light Truck and Utility Vehicle Manufacturing,250000.0,500000.0
FY19,,BIOMETRIC EQUIPMENT,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$500K and <$1M,PANAMA,Amy Kara,,541511 - Custom Computer Programming Services,500000.0,1000000.0
FY19,,PICKUP TRUCK,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$250K and <$500K,PERU,Anthony Pierce,,336112 - Light Truck and Utility Vehicle Manufacturing,250000.0,500000.0
FY19,,SLE - DRIVING SIMULATORS (40 X 150000 DIVIDEND INTO 2018 AND 2019),INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$5M and <$10M,MEXICO,Amy Kara,,333318 - Other Commercial and Service Industry Machinery Manufacturing,5000000.0,10000000.0
FY19,, UNODC PORT CONTAINER SECURITY PROJECT FOR CAPT OF THE PORT INITIATIVE  ,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$5M and <$10M,MEXICO,Amy Kara,,332439 - Other Metal Container Manufacturing,5000000.0,10000000.0
FY19,,SLE - ACADEMY IN A BOX BPA,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$5M and <$10M,MEXICO,Amy Kara,,611430 - Professional and Management Development Training,5000000.0,10000000.0
FY19,,SEMAR PORT SECURITY  SATELLITE L BAND  ,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$1M and <$5M,MEXICO,Amy Kara,,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY19,,STATE UIPES ,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$1M and <$5M,MEXICO,Amy Kara,,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY19,,DTC TRAINING AND CERTIFICATION ,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$1M and <$5M,MEXICO,Amy Kara,,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY19,,SLE - INTERNAL AFFAIRS KITS FOR STATES - BPA CONTRACT W/GAPP,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$1M and <$5M,MEXICO,Amy Kara,,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY19,, SEMAR LÁZARO CÁRDENAS RADAR FOR PORT SECURITY ,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$1M and <$5M,MEXICO,Amy Kara,,517919 - All Other Telecommunications,1000000.0,5000000.0
FY19,,DTC REINTEGRATION THROUGH COMMUNITY COALITIONS,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$1M and <$5M,MEXICO,Amy Kara,,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY19,,MODIFICATION OF NON-INTRUSIVE INSPECTION EQUIPMENT FACILITIES (NIIE),INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 4 (Jul-Sep),>$500K and <$1M,COSTA RICA,Anthony Pierce,,236220 - Commercial and Institutional Building Construction,500000.0,1000000.0
FY19,,TIGRES BASE IMPROVEMENTS,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$1M and <$5M,HONDURAS,Amy Kara,,236210 - Industrial Building Construction,1000000.0,5000000.0
FY19,,DORNIER TRAINING ,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar);#Quarter 4 (Jul-Sep),>$1M and <$5M,MEXICO,Amy Kara,,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY19,,ZODIAC BOATS,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$250K and <$500K,COSTA RICA,Amy Kara,,336612 - Boat Building,250000.0,500000.0
FY19,,VEHICLES,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$1M and <$5M,HONDURAS,Amy Kara,,336111 - Automobile Manufacturing,1000000.0,5000000.0
FY19,,CONSTRUCTION OF VARIOUS TRAINING FACILITIES,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$1M and <$5M,COSTA RICA,Andrew Lloyd,,236220 - Commercial and Institutional Building Construction,1000000.0,5000000.0
FY19,,SEMAR-UIN - SUPPORT INTERCEPTOR BOATS,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$1M and <$5M,MEXICO,Amy Kara,,336612 - Boat Building,1000000.0,5000000.0
FY19,,UPGRADES AND EQUIPMENT FOR THE GUAPILES NATIONAL POLICE SCHOOL​,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 4 (Jul-Sep),>$500K and <$1M,COSTA RICA,Anthony Pierce,,236220 - Commercial and Institutional Building Construction,500000.0,1000000.0
FY19,,REHABILITATION OF PENITENTIAL PRISON,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$1M and <$5M,HAITI,Amy Kara,,236210 - Industrial Building Construction,1000000.0,5000000.0
FY19,,GREEN DOGS,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$250K and <$500K,COSTA RICA,Amy Kara,,112990 - All Other Animal Production,250000.0,500000.0
FY19,,VEHICLES AND EQUIPMENT FOR MUNICIPAL POLICE,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$250K and <$500K,COSTA RICA,Andrew Lloyd,,336112 - Light Truck and Utility Vehicle Manufacturing,250000.0,500000.0
FY19,,SEMAR - TEACAPAN,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$1M and <$5M,MEXICO,Amy Kara,,334419 - Other Electronic Component Manufacturing,1000000.0,5000000.0
FY19,,HELICOPTER MAINTENANCE,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$5M and <$10M,COSTA RICA,Anthony Pierce,,336413 - Other Aircraft Parts and Auxiliary Equipment Manufacturing,5000000.0,10000000.0
FY19,,BIOMETRIC DATA SHARING CLOUD,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$1M and <$5M,MEXICO,Amy Kara,,334118 - Computer Terminal and Other Computer Peripheral Equipment Manufacturing,1000000.0,5000000.0
FY19,,SUPPORT TO NATIONAL POLICE INFORMATION SYSTEMS OFFICE (TELEMATICA),INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$500K and <$1M,DOMINICAN REPUBLIC,Amy Kara,,334111 - Electronic Computer Manufacturing,500000.0,1000000.0
FY19,,COMMAND CENTER SUPPORT ,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$1M and <$5M,DOMINICAN REPUBLIC,Andrew Lloyd,,334111 - Electronic Computer Manufacturing,1000000.0,5000000.0
FY19,,GREEN DOGS ,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$250K and <$500K,DOMINICAN REPUBLIC,Amy Kara,,112990 - All Other Animal Production,250000.0,500000.0
FY19,,EQUIPMENT SUPPORT FOR CANINE ACADEMY ,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$250K and <$500K,DOMINICAN REPUBLIC,Andrew Lloyd,,337127 - Institutional Furniture Manufacturing,250000.0,500000.0
FY19,,NETWORK SUPPORT,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 4 (Jul-Sep),>$250K and <$500K,DOMINICAN REPUBLIC,Anthony Pierce,,334118 - Computer Terminal and Other Computer Peripheral Equipment Manufacturing,250000.0,500000.0
FY19,,FIELD GEAR,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$1M and <$5M,HONDURAS,Amy Kara,,339999 - All Other Miscellaneous Manufacturing,1000000.0,5000000.0
FY19,,SUPPORT FOR FINANCIAL ANALYSIS UNIT,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 4 (Jul-Sep),>$250K and <$500K,DOMINICAN REPUBLIC,Anthony Pierce,,334118 - Computer Terminal and Other Computer Peripheral Equipment Manufacturing,250000.0,500000.0
FY19,,PROVISION OF LICENSE PLATE READER SYSTEM FOR 911,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$500K and <$1M,DOMINICAN REPUBLIC,Andrew Lloyd,,"334614 - Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",500000.0,1000000.0
FY19,,CASE MANAGEMENT/INTELLIGENCE DATABASE,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$500K and <$1M,DOMINICAN REPUBLIC,Anthony Pierce,,"334614 - Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",500000.0,1000000.0
FY19,,COMPUTER EQUIPMENT FOR INL PROGRAMS,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$1M and <$5M,EL SAVADOR,Andrew Lloyd,,334111 - Electronic Computer Manufacturing,1000000.0,5000000.0
FY19,,CONSTRUCTION MATERIALS FOR INL PROJECTS,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 4 (Jul-Sep),>$1M and <$5M,EL SAVADOR,Anthony Pierce,,"423320 - Brick, Stone, and Related Construction Material Merchant Wholesalers",1000000.0,5000000.0
FY19,,SEDENA - ERADICATION EQUIPMENT,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$1M and <$5M,MEXICO,Amy Kara,,325180 - Other Basic Inorganic Chemical Manufacturing,1000000.0,5000000.0
FY19,,SEMAR - VALLE DE BRAVO,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 4 (Jul-Sep),>$1M and <$5M,MEXICO,Amy Kara,,334419 - Other Electronic Component Manufacturing,1000000.0,5000000.0
FY19,,CONTAINERS FOR INL PROJECTS,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$500K and <$1M,EL SAVADOR,Amy Kara,,332439 - Other Metal Container Manufacturing,500000.0,1000000.0
FY19,,MOTORCYCLES FOR INL PROGRAMS,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$250K and <$500K,EL SAVADOR,Andrew Lloyd,,"336991 - Motorcycle, Bicycle, and Parts Manufacturing",250000.0,500000.0
FY19,,OFFICE FURNITURE FOR INL PROGRAMS,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 2 (Jan-Mar),>$500K and <$1M,EL SAVADOR,Amy Kara,,337127 - Institutional Furniture Manufacturing,500000.0,1000000.0
FY19,,​BIOMETRIC DATA SHARING PROGRAM,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$1M and <$5M,MEXICO,Amy Kara,,334118 - Computer Terminal and Other Computer Peripheral Equipment Manufacturing,1000000.0,5000000.0
FY19,,ADVANCE TRAINING FOR PRISONS PROGRAM,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$1M and <$5M,MEXICO,Amy Kara,,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY19,,SANCTION COMPLICIT JUDICIAL ACTORS PROJECT,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$1M and <$5M,MEXICO,Amy Kara,,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY19,,SHIRTS AND OTHER GEAR,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 4 (Jul-Sep),>$500K and <$1M,EL SAVADOR,Anthony Pierce,,315190 - Other Apparel Knitting Mills,500000.0,1000000.0
