name,president,president_byline,date,title,initial_joy,initial_sadness,initial_fear,initial_disgust,initial_surprise,revised_joy,revised_sadness,revised_fear,revised_disgust,revised_surprise,initial_idelogical_tilt,initial_immigration,initial_executive_power,initial_federalism,initial_security_liberty,initial_economic_regulation,initial_social_inclusion,revised_idelogical_tilt,revised_immigration,revised_executive_power,revised_federalism,revised_security_liberty,revised_economic_regulation,revised_social_inclusion
executive-order-7514-establishing-patuxent-research-refuge-the-state-maryland,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1936-12-16,Executive Order 7514-Establishing Patuxent Research Refuge in the State of Maryland,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
executive-order-8475-partial-revocation-executive-order-no-924-august-8-1908-establishing,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1940-07-10,"Executive Order 8475-Partial Revocation of Executive Order No. 924 of August 8, 1908, Establishing the Klamath Lake Reservation",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-10971-creating-emergency-board-investigate-dispute-between-trans-world,John F. Kennedy,35th President of the United States: 1961 ‐ 1963,1961-11-01,"Executive Order 10971-Creating an Emergency Board to Investigate a Dispute Between Trans World Airlines, Inc., and Certain of its Employees",1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0
executive-order-6693-creation-the-committee-national-land-problems,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1934-04-28,Executive Order 6693-Creation of the Committee on National Land Problems,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,0.0,3.0,1.0,2.0,0.0,2.0,3.0,0.0,3.0,1.0
executive-order-7550-revocation-paragraph-9-subdivision-iii-schedule-civil-service-rules,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1937-02-10,"Executive Order 7550-Revocation of Paragraph 9, Subdivision III, Schedule A, Civil Service Rules",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-6724-authorizing-the-purchase-or-rental-land-for-emergency-conservation,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1934-05-28,Executive Order 6724-Authorizing the Purchase or Rental of Land for Emergency Conservation Work,7.0,4.0,3.0,1.0,3.0,8.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0
executive-order-13558-export-enforcement-coordination-center,Barack Obama,44th President of the United States: 2009 ‐ 2017,2010-11-09,Executive Order 13558-Export Enforcement Coordination Center,3.0,1.0,5.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,3.0,4.0,2.0,0.0
executive-order-6231-veterans-regulation-no-3b,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1933-07-28,Executive Order 6231-Veterans Regulation No. 3(b),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-approving-the-plan-the-governor-missouri,Abraham Lincoln,16th President of the United States: 1861 ‐ 1865,1861-11-05,Executive Order-Approving the Plan of the Governor of Missouri,6.0,3.0,2.0,1.0,5.0,6.0,3.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0
executive-order-amendments-civil-service-rules-24,Benjamin Harrison,23rd President of the United States: 1889 ‐ 1893,1890-01-29,Executive Order-Amendments of Civil Service Rules,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-8660-establishing-the-snyder-lake-national-wildlife-refuge,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1941-02-03,Executive Order 8660-Establishing the Snyder Lake National Wildlife Refuge,7.0,1.0,3.0,3.0,5.0,8.0,1.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0
executive-order-6124-withdrawal-public-lands-for-resurvey-colorado,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1933-05-02,"Executive Order 6124-Withdrawal of Public Lands for Resurvey, Colorado",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-7385-exemption-john-v-shea-from-compulsory-retirement-for-age,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1936-06-08,Executive Order 7385-Exemption of John V. Shea From Compulsory Retirement for Age,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-9655-regulations-relating-commissioned-officers-and-employees-the-public,Harry S Truman,33rd President of the United States: 1945 ‐ 1953,1945-11-14,Executive Order 9655-Regulations Relating to Commissioned Officers and Employees of the Public Health Service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
executive-order-12979-agency-procurement-protests,William J. Clinton,42nd President of the United States: 1993 ‐ 2001,1995-10-25,Executive Order 12979-Agency Procurement Protests,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
executive-order-11828-establishing-commission-cia-activities-within-the-united-states,Gerald R. Ford,38th President of the United States: 1974 ‐ 1977,1975-01-04,Executive Order 11828-Establishing a Commission on CIA Activities Within the United States,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0
executive-order-6595-authorizing-the-director-the-united-states-employment-service-accept,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1934-02-09,Executive Order 6595-Authorizing the Director of the United States Employment Service to Accept Certain Voluntary Services,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
executive-order-12593-presidents-committee-the-arts-and-the-humanities,Ronald Reagan,40th President of the United States: 1981 ‐ 1989,1987-04-21,Executive Order 12593-President's Committee on the Arts and the Humanities,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-13230-presidents-advisory-commission-educational-excellence-for-hispanic,George W. Bush,43rd President of the United States: 2001 ‐ 2009,2001-10-12,Executive Order 13230-Presidents Advisory Commission on Educational Excellence for Hispanic Americans,7.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,2.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,3.0
executive-order-5956-unsanctioned-asylum,Herbert Hoover,31st President of the United States: 1929 ‐ 1933,1932-12-01,Executive Order 5956-Unsanctioned Asylum,1.0,2.0,3.0,4.0,1.0,1.0,3.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-9392-amendment-executive-order-9334-entitled-war-food-administration,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1943-10-28,"Executive Order 9392-Amendment of Executive Order 9334 Entitled ""War Food Administration""",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,0.0
executive-order-6748-establishing-the-national-longshoremens-labor-board,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1934-06-26,Executive Order 6748-Establishing the National Longshoremen's Labor Board,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0
executive-order-47,Theodore Roosevelt,26th President of the United States: 1901 ‐ 1909,1903-07-03,Executive Order,6.0,2.0,1.0,1.0,4.0,7.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-9836-vesting-certain-functions-and-authority-with-respect-the-veterans,Harry S Truman,33rd President of the United States: 1945 ‐ 1953,1947-03-22,Executive Order 9836-Vesting Certain Functions and Authority With Respect to the Veterans' Emergency Housing Program in the Housing Expediter,2.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0
executive-order-281,Grover Cleveland,22nd President of the United States: 1885 ‐ 1889,1886-11-20,Executive Order,0.0,7.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-7919-authorizing-the-appointment-mrs-eleanor-j-townsend-classified,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1938-06-25,Executive Order 7919-Authorizing the Appointment of Mrs. Eleanor J. Townsend to a Classified Position in the Securities and Exchange Commission Without Regard to the Civil Service Rules,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
executive-order-5393-power-site-restoration-no-444,Herbert Hoover,31st President of the United States: 1929 ‐ 1933,1930-07-10,Executive Order 5393-Power-Site Restoration No. 444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-2.0,0.0
executive-order-8547-amending-the-foreign-service-regulations-the-united-states,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1940-09-24,Executive Order 8547-Amending the Foreign Service Regulations of the United States,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-12758-addition-level-iv-the-executive-schedule,George Bush,41st President of the United States: 1989 ‐ 1993,1991-04-05,Executive Order 12758-Addition to Level IV of the Executive Schedule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
executive-order-389,Andrew Johnson,17th President of the United States: 1865 ‐ 1869,1865-05-04,Executive Order,1.0,8.0,1.0,1.0,3.0,1.0,8.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-10143-authorizing-the-appointment-mrs-ruth-edna-mcc-somers-position-the,Harry S Truman,33rd President of the United States: 1945 ‐ 1953,1950-07-12,Executive Order 10143-Authorizing the Appointment of Mrs. Ruth Edna McC. Somers to a Position in the Government Service Without Regard to the Civil Service Rules,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
executive-order-9806-establishing-the-presidents-temporary-commission-employee-loyalty,Harry S Truman,33rd President of the United States: 1945 ‐ 1953,1946-11-25,Executive Order 9806-Establishing the President's Temporary Commission on Employee Loyalty,3.0,1.0,5.0,6.0,1.0,2.0,1.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,5.0,4.0,0.0,-2.0
executive-order-13453-closing-executive-departments-and-agencies-the-federal-government,George W. Bush,43rd President of the United States: 2001 ‐ 2009,2007-12-06,"Executive Order 13453-Closing of Executive Departments and Agencies of the Federal Government on Monday, December 24, 2007",7.0,1.0,1.0,1.0,3.0,8.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-13593-2011-amendments-the-manual-for-courts-martial-united-states,Barack Obama,44th President of the United States: 2009 ‐ 2017,2011-12-13,"Executive Order 13593-2011 Amendments to the Manual for Courts-Martial, United States",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-6249-code-fair-competition-for-the-lace-manufacturing-industry,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1933-08-14,Executive Order 6249-Code of Fair Competition for the Lace Manufacturing Industry,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0
executive-order-6146-exemption-walter-l-g-perry-from-compulsory-retirement-for-age,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1933-05-26,Executive Order 6146-Exemption of Walter L. G. Perry from Compulsory Retirement for Age,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
executive-order-13926-advancing-international-religious-freedom,Donald J. Trump (1st Term),45th President of the United States: 2017 ‐ 2021,2020-06-02,Executive Order 13926-Advancing International Religious Freedom,7.0,0.0,0.0,3.0,2.0,8.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,1.0,0.0,-1.0
executive-order-10404-resorting-certain-land-reserved-for-military-purposes-the-territory,Harry S Truman,33rd President of the United States: 1945 ‐ 1953,1952-11-05,Executive Order 10404-Resorting Certain Land Reserved for Military Purposes to the Territory of Hawaii and Transfering Title to Such Land and to Certain Other Lands to the Territory,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
executive-order-8761-exemption-edward-p-davis-from-compulsory-retirement-for-age,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1941-05-27,Executive Order 8761-Exemption of Edward P. Davis From Compulsory Retirement for Age,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-13942-addressing-the-threat-posed-tiktok-and-taking-additional-steps,Donald J. Trump (1st Term),45th President of the United States: 2017 ‐ 2021,2020-08-06,"Executive Order 13942-Addressing the Threat Posed by TikTok, and Taking Additional Steps To Address the National Emergency With Respect to the Information and Communications Technology and Services Supply Chain",1.0,3.0,7.0,6.0,4.0,1.0,2.0,8.0,7.0,5.0,1.0,0.0,3.0,0.0,4.0,2.0,-1.0,2.0,-1.0,4.0,1.0,5.0,3.0,-2.0
executive-order-7380-exemption-vincent-pierro-from-compulsory-retirement-for-age,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1936-05-27,Executive Order 7380-Exemption of Vincent Pierro From Compulsory Retirement for Age,6.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
executive-order-11229-participation-the-international-coffee-organization,Lyndon B. Johnson,36th President of the United States: 1963 ‐ 1969,1965-06-14,Executive Order 11229-Participation in the International Coffee Organization,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0
executive-order-amendment-civil-service-rules-39,Benjamin Harrison,23rd President of the United States: 1889 ‐ 1893,1893-01-05,Executive Order-Amendment of Civil Service Rules,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
executive-order-13252-exclusions-from-the-federal-labor-management-relations-program,George W. Bush,43rd President of the United States: 2001 ‐ 2009,2002-01-07,Executive Order 13252-Exclusions From the Federal Labor-Management Relations Program,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0
executive-order-9221-extension-the-provisions-executive-order-no-9001-december-27-1941,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1942-08-15,"Executive Order 9221-Extension of the Provisions of Executive Order No. 9001 of December 27, 1941, to Contracts of Federal Prison Industries, Inc.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0
executive-order-8543-exemption-samuel-j-gompers-from-compulsory-retirement-for-age,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1940-09-18,Executive Order 8543-Exemption of Samuel J. Gompers From Compulsory Retirement for Age,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-6713-code-labor-provisions-for-the-alcoholic-beverage-wholesale-industry,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1934-05-22,Executive Order 6713-A-Code of Labor Provisions for the Alcoholic Beverage Wholesale Industry,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,4.0,0.0,4.0,0.0,3.0,0.0,3.0,4.0,0.0,4.0,0.0
executive-order-6601-code-fair-competition-for-the-retail-solid-fuel-industry,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1934-02-14,Executive Order 6601-Code of Fair Competition for the Retail Solid Fuel Industry,7.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,1.0,3.0,3.0,0.0,3.0,4.0,0.0,4.0,0.0,3.0,0.0,3.0,4.0,0.0,4.0,0.0
executive-order-6387-code-fair-competition-for-the-copper-and-brass-mill-products-industry,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1933-11-02,Executive Order 6387-Code of Fair Competition for the Copper and Brass Mill Products Industry,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,4.0,0.0
executive-order-6854-waiving-the-age-limits-for-civil-service-examinations-certain-cases,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1934-09-22,Executive Order 6854-Waiving the Age Limits for Civil Service Examinations in Certain Cases,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-64,Theodore Roosevelt,26th President of the United States: 1901 ‐ 1909,1903-11-02,Executive Order,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-11954-federal-property-review,Gerald R. Ford,38th President of the United States: 1974 ‐ 1977,1977-01-07,Executive Order 11954-Federal Property Review,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
executive-order-10341-discontinuing-the-rose-island-and-the-tutuila-island-naval-defensive,Harry S Truman,33rd President of the United States: 1945 ‐ 1953,1952-04-08,Executive Order 10341-Discontinuing the Rose Island and the Tutuila Island Naval Defensive Sea Areas and Naval Airspace Reservations,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-14182-enforcing-the-hyde-amendment,Donald J. Trump (2nd Term),47th President of the United States: 2025-present,2025-01-24,Executive Order 14182-Enforcing the Hyde Amendment,7.0,3.0,0.0,6.0,4.0,8.0,2.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0
executive-order-10940-establishing-the-presidents-committee-juvenile-delinquency-and-youth,John F. Kennedy,35th President of the United States: 1961 ‐ 1963,1961-05-11,Executive Order 10940-Establishing the President's Committee on Juvenile Delinquency and Youth Crime,1.0,5.0,5.0,1.0,3.0,1.0,6.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0
executive-order-13274-environmental-stewardship-and-transportation-infrastructure-project,George W. Bush,43rd President of the United States: 2001 ‐ 2009,2002-09-18,Executive Order 13274-Environmental Stewardship and Transportation Infrastructure Project Reviews,7.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0
executive-order-300,Chester A. Arthur,21st President of the United States: 1881 ‐ 1885,1885-01-24,Executive Order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
executive-order-5452-withdrawal-public-lands-for-resurvey,Herbert Hoover,31st President of the United States: 1929 ‐ 1933,1930-09-25,Executive Order 5452-Withdrawal of Public Lands for Resurvey,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-12505-conversion-appointments-the-office-management-and-budget,Ronald Reagan,40th President of the United States: 1981 ‐ 1989,1985-02-12,Executive Order 12505-Conversion of Appointments in the Office of Management and Budget,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-12516-presidents-commission-executive-exchange,Ronald Reagan,40th President of the United States: 1981 ‐ 1989,1985-05-21,Executive Order 12516-President's Commission on Executive Exchange,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
executive-order-13599-blocking-property-the-government-iran-and-iranian-financial,Barack Obama,44th President of the United States: 2009 ‐ 2017,2012-02-05,Executive Order 13599-Blocking Property of the Government of Iran and Iranian Financial Institutions,0.0,2.0,5.0,3.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,3.0,2.0,4.0,3.0,0.0
executive-order-5367-power-site-restoration-no-441-idaho,Herbert Hoover,31st President of the United States: 1929 ‐ 1933,1930-06-14,"Executive Order 5367-Power-Site Restoration No. 441, Idaho",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-4239-transfer-bureau-mines-commerce-department,Calvin Coolidge,30th President of the United States: 1923 ‐ 1929,1925-06-04,Executive Order 4239-Transfer of Bureau of Mines to Commerce Department,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
executive-order-8591-withdrawal-public-land-aid-flood-control,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1940-11-08,Executive Order 8591-Withdrawal of Public Land in Aid of Flood Control,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-9910-creating-emergency-board-investigate-dispute-between-the-georgia,Harry S Truman,33rd President of the United States: 1945 ‐ 1953,1947-12-16,Executive Order 9910-Creating an Emergency Board to Investigate a Dispute Between the Georgia Railroad and the Brotherhood of Locomotive Firemen and Enginemen,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
executive-order-11372-designating-the-lake-ontario-claims-tribunal-public-international,Lyndon B. Johnson,36th President of the United States: 1963 ‐ 1969,1967-09-18,"Executive Order 11372-Designating the Lake Ontario Claims Tribunal as a Public International Organization Entitled to Enjoy Certain Privileges, Exemptions, and Immunities",1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-8184-amending-executive-order-no-7532-january-8-1937-establishing-the,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1939-06-28,"Executive Order 8184-Amending Executive Order No. 7532 of January 8, 1937, Establishing the Shinnecock Migratory Bird Refuge",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-13927-accelerating-the-nations-economic-recovery-from-the-covid-19,Donald J. Trump (1st Term),45th President of the United States: 2017 ‐ 2021,2020-06-04,Executive Order 13927-Accelerating the Nation's Economic Recovery From the COVID-19 Emergency by Expediting Infrastructure Investments and Other Activities,7.0,3.0,4.0,1.0,2.0,7.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,3.0,2.0,1.0,-3.0,0.0
executive-order-12317-presidents-commission-hostage-compensation,Ronald Reagan,40th President of the United States: 1981 ‐ 1989,1981-08-14,Executive Order 12317-President's Commission on Hostage Compensation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
